X,Y,Z,azimuth,dip,polarity,formation
261304.8272716333,6423487.33241318,360.4497693442587,255,45,1,Umberatana_Group
264674.28572179633,6423192.346653432,400.20945254906,95,75,1,Umberatana_Group
266540.9816458968,6424330.479401096,447.71528601316123,120,35,1,Yerelina_Subgroup
265313.123438261,6422874.923472333,401.49335266209386,105,45,1,Umberatana_Group
266545.0750172054,6422341.426842082,420.99999999999994,60,10,1,Yerelina_Subgroup
262515.59257116826,6419871.335059714,397.7085472660779,265,85,1,Umberatana_Group
264788.8285360971,6418821.323169095,390.5234253247432,40,70,1,Yudnamutana_Subgroup
269755.05545774795,6417755.208851147,446.1030014384319,10,35,1,Umberatana_Group
267500.5862070713,6417197.584851077,405.58526771099525,40,50,1,Umberatana_Group
264903.73508780927,6414958.679876264,404.3737314615605,250,80,1,Umberatana_Group
262589.7116106609,6413523.582698426,444.4049414893575,275,45,1,Umberatana_Group
263883.3936220574,6410416.864263223,475.1308640018885,295,45,1,Yudnamutana_Subgroup
265831.0580441295,6409509.580759244,458.36361677667355,280,70,1,Unnamed_GIS_Unit___see_description
266817.35094162414,6409894.911368523,449.2719301204861,170,45,1,Unnamed_GIS_Unit___see_description
270030.76643812074,6408276.440400077,462.7534090813179,80,45,1,Umberatana_Group
270892.78702487313,6408965.522026451,485.5351370606104,95,50,1,Umberatana_Group
269974.54978942976,6410373.022403594,465.5279046015538,110,50,1,Umberatana_Group
269186.2922361997,6410434.601322606,444.8819382626428,100,15,1,Umberatana_Group
267934.1646398711,6411603.496235477,430.8666883715547,140,80,1,Yudnamutana_Subgroup
269527.3914494271,6411683.760294447,479.5765542995283,140,25,1,Umberatana_Group
272554.7530874888,6410768.848611621,489.93281534008463,105,65,1,Umberatana_Group
273791.25561459514,6413114.135084505,482.3941906236349,110,50,1,Umberatana_Group
275526.2421985294,6415737.950724905,475.86921247978034,120,85,1,Yerelina_Subgroup
273317.8094698271,6416680.641544447,445.808618601553,110,50,1,Umberatana_Group
272291.5241632956,6420266.719204672,473.20735725945286,300,50,1,Umberatana_Group
279927.0994336759,6417944.9432295775,550.1816766021117,125,60,1,Wilpena_Group
286410.5259420703,6419119.029893711,481.0596057338729,95,55,1,Umberatana_Group
