X,Y,Z,formation
278209.1031385913,6405106.38536291,485.943556949225,Yudnamutana_Subgroup
278208.3173693276,6405084.328058686,484.6076721661918,Yudnamutana_Subgroup
283442.0153493803,6412561.861472249,474.2346682117981,Yudnamutana_Subgroup
282639.1656594477,6412781.740001263,518.836764874298,Yudnamutana_Subgroup
281457.5437366266,6411916.438343609,574.9237235249897,Yudnamutana_Subgroup
281046.60410792043,6411453.150965236,571.9704197066887,Yudnamutana_Subgroup
279391.3589168881,6408706.732794277,565.5512526606955,Yudnamutana_Subgroup
279191.35834295343,6408331.072744613,557.2768092293768,Yudnamutana_Subgroup
279180.73310197104,6408311.115339703,556.8919450201303,Yudnamutana_Subgroup
278295.1187346497,6405921.325912261,485.92389738619784,Yudnamutana_Subgroup
265126.9199789651,6412227.768924265,427.85118706776194,Yudnamutana_Subgroup
263850.388681922,6409386.881960055,496.3499288803275,Yudnamutana_Subgroup
263579.72128779494,6408811.10278541,513.4426600661659,Yudnamutana_Subgroup
263434.29313638783,6408554.455466769,512.6125394779655,Yudnamutana_Subgroup
291854.7241591144,6436772.157579308,502.1921796960669,Burra_Group
291724.6854643158,6436962.202820223,504.91708937986664,Burra_Group
291603.80058096955,6437069.488217022,506.5722998025236,Burra_Group
291854.7241591144,6436772.157579308,502.1921796960669,Umberatana_Group
293246.8989684675,6437721.397501219,499.64422604814746,Umberatana_Group
295959.923589875,6438688.227651551,475.558802525501,Umberatana_Group
295978.3263532821,6438699.120073983,475.7629724499517,Umberatana_Group
296024.7949551343,6438738.098167971,476.2399859346252,Umberatana_Group
297578.1625358919,6439231.2048542695,467.1951884974063,Umberatana_Group
298985.7160165252,6440039.991289452,453.20596122599875,Umberatana_Group
301560.58143664454,6442800.774789593,393.4126459132285,Umberatana_Group
302637.03567367984,6444359.410207193,363.94300377125796,Umberatana_Group
302796.9520985574,6444661.482505694,359.4528177925949,Umberatana_Group
303017.1931086846,6445972.012140648,344.4673286974953,Umberatana_Group
302617.28946849005,6446914.924636746,350.28793496919195,Umberatana_Group
302610.3326896952,6448409.092767744,344.20727127341837,Umberatana_Group
302934.7266514525,6448937.189501289,340.6186279868015,Umberatana_Group
303016.47063859855,6449015.739979768,339.6098425841642,Umberatana_Group
306664.0582811981,6448550.528604502,312.5223566013909,Umberatana_Group
309533.9488801983,6447172.448362221,303.24973270982764,Umberatana_Group
308854.8082099779,6445537.102935281,309.0767757069805,Umberatana_Group
308210.08070529735,6445155.303166555,320.4976732935254,Umberatana_Group
306131.69395674346,6443657.887272652,337.6141533820539,Umberatana_Group
304420.14830044075,6442404.897307223,368.72946474050065,Umberatana_Group
