X, Y, l, m, n, dip, dip_dir
500497.8827818414, 7493786.997082645, -0.19325163811152332, 0.07033784399577858, 0.978624745277391, 11.867791982851017, 290.0
500497.8827818414, 7494286.997082645, -0.19325241928922826, 0.07033812832121085, 0.9786245705801224, 11.867840653877067, 290.0
500497.8827818414, 7494786.997082645, -0.1932531892612318, 0.07033840856810135, 0.9786243983880994, 11.867888626743905, 290.0
500497.8827818414, 7495286.997082645, -0.1932539480298889, 0.07033868473730721, 0.978624228700826, 11.867935901598074, 290.0
500997.8827818414, 7486786.997082645, -0.19323971929465172, 0.07033350590120965, 0.9786274106290752, 11.867049385871283, 290.0
500997.8827818414, 7487286.997082645, -0.19324065756365794, 0.07033384740319965, 0.9786272008144002, 11.867107844262193, 290.0
500997.8827818414, 7487786.997082645, -0.19324158459699586, 0.07033418481574082, 0.9786269935111883, 11.867165602632596, 290.0
500997.8827818414, 7488286.997082645, -0.19324250039660998, 0.0703345181395409, 0.9786267887190422, 11.867222661103227, 290.0
500997.8827818414, 7488786.997082645, -0.19324340496447423, 0.07033484737531837, 0.9786265864375577, 11.867279019796655, 290.0
500997.8827818414, 7489286.997082645, -0.19324429830259202, 0.07033517252380239, 0.9786263866663242, 11.867334678837139, 290.0
500997.8827818414, 7489786.997082645, -0.193245180412996, 0.07033549358573277, 0.978626189404923, 11.867389638351, 290.0
500997.8827818414, 7490286.997082645, -0.19324605129774813, 0.07033581056186002, 0.9786259946529288, 11.867443898466291, 290.0
500997.8827818414, 7490786.997082645, -0.1932469109589399, 0.07033612345294538, 0.9786258024099097, 11.867497459312844, 290.0
500997.8827818414, 7491286.997082645, -0.19324775939869202, 0.07033643225976072, 0.9786256126754261, 11.867550321022449, 290.0
500997.8827818414, 7491786.997082645, -0.19324859661915453, 0.0703367369830886, 0.978625425449032, 11.867602483728604, 290.0
500997.8827818414, 7492286.997082645, -0.1932494226225069, 0.07033703762372225, 0.978625240730274, 11.867653947566652, 290.0
500997.8827818414, 7492786.997082645, -0.19325023741095776, 0.07033733418246559, 0.9786250585186916, 11.867704712673884, 290.0
500997.8827818414, 7493286.997082645, -0.19325104098674506, 0.07033762666013313, 0.9786248788138177, 11.867754779189312, 290.0
500997.8827818414, 7493786.997082645, -0.193251833352136, 0.07033791505755012, 0.9786247016151775, 11.867804147253878, 290.0
500997.8827818414, 7494286.997082645, -0.19325261450942727, 0.07033819937555241, 0.9786245269222901, 11.86785281701016, 290.0
500997.8827818414, 7494786.997082645, -0.1932533844609444, 0.07033847961498649, 0.9786243547346666, 11.867900788602839, 290.0
500997.8827818414, 7495286.997082645, -0.1932541432090426, 0.07033875577670953, 0.978624185051812, 11.867948062178158, 290.0
501497.8827818414, 7486786.997082645, -0.19323990375335942, 0.07033357303868869, 0.9786273693807076, 11.867060878479705, 290.0
