GROUP_,id,x,y,z,code
Warrina Supergroup,83,292952.47060787206,6447435.227769759,531.3244390515758,Emeroo_Subgroup
Warrina Supergroup,83,293458.3483117024,6449142.105089391,583.2740873802925,Emeroo_Subgroup
Warrina Supergroup,83,293871.72696945595,6452082.6722884765,539.0571005501116,Emeroo_Subgroup
Warrina Supergroup,83,294001.2803241581,6454168.447279263,525.6992308732529,Emeroo_Subgroup
Warrina Supergroup,83,294060.74517994747,6454436.037693303,527.6724214839845,Emeroo_Subgroup
Warrina Supergroup,83,294101.20713558834,6454557.423572547,526.8694318456885,Emeroo_Subgroup
Warrina Supergroup,83,294161.90040038474,6454779.964068385,525.7031468865712,Emeroo_Subgroup
Warrina Supergroup,83,294226.7571719163,6454873.645882314,525.1891405433479,Emeroo_Subgroup
Warrina Supergroup,83,293842.5766467115,6455363.900621925,530.9779923719777,Emeroo_Subgroup
Heysen Supergroup,83,250805.1529856466,6436657.550138169,357.2260860636893,Yudnamutana_Subgroup
Heysen Supergroup,83,251021.22887304224,6436738.566418224,355.55922658521547,Yudnamutana_Subgroup
Heysen Supergroup,83,251396.92571188134,6437542.005038539,371.20478995629827,Yudnamutana_Subgroup
Heysen Supergroup,83,251669.21210192592,6438220.693458654,357.2917145875806,Yudnamutana_Subgroup
Heysen Supergroup,83,252204.74886360893,6438738.006209359,343.77225667378076,Yudnamutana_Subgroup
Wilpena Group,83,259327.25746970426,6433279.09072111,451.9302932077882,ABC_Range_Quartzite
Wilpena Group,83,259404.68083317482,6433366.376653653,456.576762573671,ABC_Range_Quartzite
Wilpena Group,83,259539.76035292665,6433552.492308874,467.3262716197529,ABC_Range_Quartzite
Wilpena Group,83,260149.0137240558,6434631.772728575,474.06492783041665,ABC_Range_Quartzite
Wilpena Group,83,260284.09314397094,6434817.888425076,474.745972198354,ABC_Range_Quartzite
Wilpena Group,83,260494.06122227464,6435027.539928982,486.19541990783307,ABC_Range_Quartzite
Wilpena Group,83,260710.11068358846,6435135.79458845,504.1147218160414,ABC_Range_Quartzite
Wilpena Group,83,260971.2703598389,6435234.01362939,510.31307400676843,ABC_Range_Quartzite
Wilpena Group,83,261029.05227072607,6435224.73197994,511.5595175860475,ABC_Range_Quartzite
Wilpena Group,83,261088.7345094652,6435183.76387104,515.2804750835105,ABC_Range_Quartzite
Wilpena Group,83,261258.91073131337,6434996.732310806,532.350871783743,ABC_Range_Quartzite
Wilpena Group,83,261292.23551031682,6434865.156977233,533.9812023241017,ABC_Range_Quartzite
Wilpena Group,83,261251.93793512386,6434582.922353279,527.7920433727583,ABC_Range_Quartzite
Wilpena Group,83,261163.6150221974,6434253.310596883,554.1540358049942,ABC_Range_Quartzite
